nvcc -std=c++14 -O2 -ccbin clang-3.9 -lstdc++ -L/usr/local/cuda/lib64 -L/usr/local/lib -lcudnn -lcublas -lhdf5_cpp -lhdf5_serial -lm -o build/hidden_test build/tensor.o build/exception.o build/array4d.o build/cudnn_context.o build/data_type.o build/linear.o build/kernel.o build/conv1d.o build/catch.o build/hidden_test.o
./build/hidden_test
0.086,  0.19,  0.23,  0.21,  0.22,  0.25,  0.23,  0.25,  0.22,   0.2,  0.23,  0.21,  0.21,  0.22,     0,     0, 
 0.14,  0.15,  0.21,  0.15,  0.14,  0.18,  0.19,   0.2,  0.19,  0.17,  0.17,  0.15,  0.15,  0.16,     0,     0, 
 0.15,  0.12,  0.18,  0.12,  0.12, 0.098,  0.16,  0.14,  0.14,  0.12,  0.13,  0.11,  0.12,  0.12,     0,     0, 
 0.16,  0.13,  0.13,   0.1,  0.12,  0.09,  0.11, 0.078,  0.11, 0.092, 0.098,  0.11,   0.1, 0.094,     0,     0, 
 0.14, 0.073, 0.021,     0, 0.021,     0, 0.022,     0, 0.038,     0,     0, 0.017, 0.0002, 0.00047,     0,     0, 
 0.11, 0.0063,     0, 0.012,     0,     0, 0.0075, 0.038,     0,     0,     0,     0,  0.01,     0,     0,     0, 
 0.12, 0.0033,     0, 0.029,     0,  0.05,     0, 0.052,  0.03,     0,     0,     0, 0.018,     0,     0,     0, 
 0.14,     0,     0, 0.0099,     0,  0.11, 0.065,  0.07, 0.057,     0,     0,     0,     0,     0,     0,     0, 
 0.14, 0.0078,     0,     0,     0,  0.14,  0.11, 0.073, 0.067,     0,     0,     0,     0, 0.012,     0,     0, 
 0.15, 0.031,     0,     0,     0,  0.14, 0.078, 0.017, 0.024,     0,     0,     0,     0, 0.0017,     0,     0, 
 0.14,     0,     0,     0,     0,  0.12,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 
 0.12,     0,     0,     0,     0, 0.078,     0, 0.0032,     0,     0,     0,     0,     0,     0,     0,     0, 
 0.11,     0,     0,     0,     0, 0.056,     0, 0.0018,     0,     0,     0,     0,     0,     0,     0,     0, 
 0.12,     0,     0,     0,     0, 0.075,     0,     0,     0,     0,     0,     0, 0.0054,     0,     0,     0, 
 0.13,     0,     0,     0,     0,  0.11,     0,     0, 0.014,     0,     0,     0,     0, 0.0077,     0,     0, 
 0.14, 0.0016,     0,     0,     0,  0.13,     0,     0, 0.043,     0,     0,     0,     0,     0,     0,     0, 
 0.13, 0.0019,     0, 0.019,  0.04,  0.14, 0.019,     0, 0.054,     0,     0,     0,     0,     0,     0,     0, 
 0.11,     0,     0,     0, 0.085,  0.16, 0.047,     0, 0.029,     0,     0, 0.0019,     0,     0,     0,     0, 
 0.11,     0,     0,     0, 0.013,  0.18, 0.071,     0, 0.0081,     0,     0, 0.013,     0,     0,     0,     0, 
 0.12,     0,     0, 0.0098,     0,  0.18,  0.11,     0, 0.026,     0,     0, 0.023,     0,     0,     0,     0, 
 0.12,     0,     0, 0.016,     0,  0.18,  0.11, 0.0006, 0.0024,     0,     0, 0.051,     0, 0.0097,     0,     0, 
 0.13,     0,     0, 0.032, 0.0064,  0.18, 0.011, 0.015,     0,     0,     0, 0.069, 0.043,  0.06,     0,     0, 
 0.13,     0,     0, 0.047, 0.021,  0.17,     0,     0,     0,     0,     0, 0.059, 0.019, 0.036,     0,     0, 
